iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Frontal 	 Frontal_Inf_Oper_L 	 29.69 	 2.01 	 68 
	 Frontal 	 Frontal_Sup_L 	 27.42 	 2.03 	 167 
	 Frontal 	 Frontal_Mid_L 	 27.32 	 2.04 	 259 
	 Limbic 	 Cingulum_Ant_L 	 26.61 	 1.86 	 103 
	 Limbic 	 Insula_L 	 25.47 	 2.08 	 121 
	 Parietal 	 Postcentral_L 	 24.56 	 2.11 	 195 
	 Parietal 	 Postcentral_R 	 24.49 	 2.04 	 203 
	 Limbic 	 Cingulum_Mid_R 	 22.70 	 2.32 	 126 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 21.82 	 1.94 	 48 
	 Limbic 	 Cingulum_Ant_R 	 21.16 	 1.91 	 80 
	 Parietal 	 Precuneus_R 	 20.76 	 2.35 	 147 
	 Parietal 	 Precuneus_L 	 20.48 	 2.15 	 169 
	 Frontal 	 Frontal_Sup_R 	 19.67 	 1.96 	 143 
	 Parietal 	 SupraMarginal_R 	 19.62 	 1.92 	 94 
	 Subcortical 	 Caudate_L 	 19.25 	 1.72 	 36 
	 Frontal 	 Olfactory_L 	 19.12 	 1.72 	 13 
	 Frontal 	 Frontal_Sup_Medial_R 	 18.78 	 1.93 	 77 
	 Frontal 	 Precentral_L 	 18.42 	 2.00 	 126 
	 Occipital 	 Occipital_Sup_L 	 17.88 	 2.30 	 54 
	 Temporal 	 Temporal_Sup_R 	 17.29 	 1.93 	 139 
	 Limbic 	 Cingulum_Mid_L 	 17.24 	 2.43 	 90 
	 Frontal 	 Frontal_Mid_R 	 15.40 	 1.91 	 172 
	 Central 	 Rolandic_Oper_R 	 15.17 	 1.81 	 44 
	 Frontal 	 Supp_Motor_Area_R 	 13.24 	 1.82 	 63 
	 Subcortical 	 Caudate_R 	 12.57 	 1.82 	 22 
	 Subcortical 	 Pallidum_L 	 11.76 	 1.88 	 4 
	 Limbic 	 Insula_R 	 11.59 	 1.84 	 48 
	 Temporal 	 Temporal_Mid_R 	 11.43 	 1.95 	 135 
	 Occipital 	 Occipital_Mid_R 	 11.30 	 1.97 	 59 
	 Frontal 	 Precentral_R 	 11.00 	 1.97 	 77 
	 Frontal 	 Frontal_Sup_Medial_L 	 10.62 	 1.78 	 53 

9	 Parietal 	 Angular_L 	 72.52 	 3.21 	 219 
	 Limbic 	 Cingulum_Post_L 	 69.57 	 3.01 	 64 
	 Limbic 	 Cingulum_Post_R 	 62.50 	 3.15 	 25 
